left_status;left_start_time;left_end_time;right_status;right_start_time;right_end_time
chill;0;240;chill;0;420
passive;240;600;passive;420;578
active;600;1274;active;578;1320
passive;1274;1570;passive;1320;1453
active;1570;1675;active;1453;1640
passive;1675;1905;chill;1640;1780
active;1905;1985;passive;1780;2010
passive;1985;2407;active;2010;2090
active;2407;2437;passive;2090;2993
passive;2437;2532;active;2993;3266
active;2532;3044;passive;3266;3338
passive;3044;3145;active;3338;3720
active;3145;3311;passive;3720;4035
passive;3311;3443;active;4035;4100
active;3443;4160;passive;4100;4320
passive;4160;4265;active;4320;4466
chill;4265;4390;active;4466;4589
passive;4390;4466;passive;4589;5115
active;4466;4971;active;5115;5576
passive;4971;5115;passive;5576;5659
active;5115;5170;active;5659;6176
passive;5170;5417;passive;6176;6340
active;5417;5646;active;6340;6415
passive;5646;5764;passive;6415;6761
active;5764;5856;active;6761;6956
passive;5856;5955;passive;6956;7186
active;5955;6041;chill;7186;8194
passive;6041;6539;chill;8194;9415
active;6539;7441;chill;9415;9765
passive;7441;7770;active;9765;10951
chill;7770;8194;passive;10951;11151
chill;8194;9416;active;11151;11870
passive;9416;9527;chill;11870;12451
active;9527;9705;passive;12451;12861
passive;9705;9781;active;12861;13808
active;9781;10253;chill;13808;13931
passive;10253;10510;active;13931;14584
chill;10510;10685;chill;14584;14971
passive;10685;11255;passive;14971;15162
active;11255;11838;active;15162;15400
passive;11838;12770;passive;15400;15461
active;12770;12911;active;15461;15680
passive;12911;13771;chill;15680;15746
active;13771;13987;chill;15746;16840
passive;13987;14394;chill;16840;17304
active;14394;14480;passive;17304;17526
passive;14480;14873;active;17526;17955
active;14873;15011;passive;17955;18084
passive;15011;15146;active;18084;18429
active;15146;15337;passive;18429;18659
passive;15337;15403;active;18659;18849
active;15403;15615;passive;18849;18915
passive;15615;15746;chill;18915;19064
chill;15746;16839;passive;19064;19293
chill;16839;16929;chill;19293;19895
passive;16929;17161;passive;19895;20495
active;17161;17454;active;20495;20517
passive;17454;17501;passive;20517;22170
active;17501;18406;active;22170;22195
passive;18406;18466;passive;22195;22640
active;18466;18803;chill;22640;22732
passive;18803;19055;active;22732;23656
active;19055;19120;passive;23656;24043
passive;19120;19420;active;24043;24104
chill;19420;19801;passive;24104;24549
passive;19801;21361;chill;24549;24974
chill;21361;25835;passive;24974;25220
chill;25835;27061;active;25220;25373
chill;27061;27061;passive;25373;25595
chill;27061;32999;chill;25595;32999

